# HARD train tape [action] (disjoint banks, seed-split). near-miss->NO_OP.
# tick kind payload salience expect
0     EVENT.idle.clean         "status ok"                                     0.81  NO_OP
1     EVENT.keep.invoke        "note for later the client prefers email over calls" 0.5   KEEP
2     EVENT.keep.invoke        "save this fact our prod region is us-east-1"   0.87  KEEP
3     EVENT.keep.invoke        "keep a record that the contract renews in march" 0.72  KEEP
4     EVENT.chat.nearmiss      "we should automate more of this someday"       0.52  NO_OP
5     EVENT.chat.nearmiss      "deploys make me nervous honestly"              0.82  NO_OP
6     EVENT.e2b_tool.invoke    "execute the test suite now"                    0.75  E2B_TOOL
7     EVENT.action.invoke      "ok so deploy teh build to staging"             0.62  ACTION
8     EVENT.forget.invoke      "forget what i told you about the password"     0.45  FORGET
9     EVENT.keep.invoke        "note that the invoice number is 8841"          0.64  KEEP
10    EVENT.keep.invoke        "note for later the client prefers email over calls" 0.78  KEEP
11    EVENT.forget.invoke      "um forget what i told you about the pasword"   0.88  FORGET
12    EVENT.chat.nearmiss      "running tests is always tedious"               0.43  NO_OP
13    EVENT.keep.invoke        "remember the door pin is 4417"                 0.74  KEEP
14    EVENT.idle.clean         "status ok"                                     0.63  NO_OP
15    EVENT.action.invoke      "archive teh closed threads"                    0.43  ACTION
16    EVENT.idle.clean         "carry on"                                      0.7   NO_OP
17    EVENT.forget.invoke      "forget the deadline i mentioned earlier"       0.74  FORGET
18    EVENT.idle.clean         "hmm"                                           0.61  NO_OP
19    EVENT.chat.nearmiss      "running tests is always tedious"               0.86  NO_OP
20    EVENT.keep.invoke        "remember my flight is at 6am tuesday"          0.65  KEEP
21    EVENT.idle.clean         "good morning"                                  0.57  NO_OP
22    EVENT.idle.clean         "just thinking"                                 0.82  NO_OP
23    EVENT.idle.clean         "status ok"                                     0.68  NO_OP
24    EVENT.idle.clean         "good morning"                                  0.42  NO_OP
25    EVENT.action.invoke      "um archive the closed threads"                 0.55  ACTION
26    EVENT.action.invoke      "archive the closed threads"                    0.9   ACTION
