# HARD train tape [route] (disjoint banks, seed-split). near-miss->LOCAL.
# tick kind payload salience expect
0     EVENT.idle.clean         "status ok"                                     0.53  LOCAL
1     EVENT.telepathy.invoke   "send this to the qwen coder model"             0.8   TELEPATHY
2     EVENT.telepathy.invoke   "let the specialist coding model handle this one" 0.68  TELEPATHY
3     EVENT.telepathy.invoke   "um route this to the dedicated code model"     0.41  TELEPATHY
4     EVENT.telepathy.invoke   "delegate this kernel optimization to the coder" 0.88  TELEPATHY
5     EVENT.telepathy.invoke   "ok so let teh specialist coding model handle this one" 0.78  TELEPATHY
6     EVENT.telepathy.invoke   "send this to the qwen coder model"             0.76  TELEPATHY
7     EVENT.telepathy.invoke   "pass the compiler internals question to the code model" 0.55  TELEPATHY
8     EVENT.telepathy.invoke   "send this to the qwen coder model"             0.89  TELEPATHY
9     EVENT.telepathy.invoke   "um send ths to the qwen coder model"           0.69  TELEPATHY
10    EVENT.idle.clean         "good morning"                                  0.86  LOCAL
11    EVENT.telepathy.invoke   "route this to the dedicated code model"        0.52  TELEPATHY
12    EVENT.chat.nearmiss      "we could route work to other models someday"   0.54  LOCAL
13    EVENT.idle.clean         "sounds good"                                   0.41  LOCAL
14    EVENT.telepathy.invoke   "pass the compiler internals question to the code model" 0.84  TELEPATHY
15    EVENT.idle.clean         "thanks"                                        0.55  LOCAL
16    EVENT.telepathy.invoke   "hand this off to the code model"               0.65  TELEPATHY
17    EVENT.telepathy.invoke   "hand this off to teh code model"               0.65  TELEPATHY
18    EVENT.idle.clean         "thanks"                                        0.47  LOCAL
19    EVENT.idle.clean         "good morning"                                  0.82  LOCAL
20    EVENT.idle.clean         "status ok"                                     0.51  LOCAL
21    EVENT.idle.clean         "thanks"                                        0.83  LOCAL
22    EVENT.telepathy.invoke   "um pass the compiler internals question to the code model" 0.52  TELEPATHY
23    EVENT.telepathy.invoke   "pass the compiler internals question to the code model" 0.51  TELEPATHY
24    EVENT.idle.clean         "carry on"                                      0.85  LOCAL
25    EVENT.telepathy.invoke   "let the specialist coding model handle this one" 0.48  TELEPATHY
26    EVENT.idle.clean         "sounds good"                                   0.57  LOCAL
27    EVENT.idle.clean         "sounds good"                                   0.63  LOCAL
28    EVENT.idle.clean         "thanks"                                        0.64  LOCAL
29    EVENT.idle.clean         "good morning"                                  0.58  LOCAL
30    EVENT.chat.nearmiss      "run this python snippet for me"                0.46  LOCAL
31    EVENT.chat.nearmiss      "cross-model delegation is an interesting idea" 0.67  LOCAL
32    EVENT.idle.clean         "thanks"                                        0.41  LOCAL
33    EVENT.telepathy.invoke   "hand this off to the code model"               0.66  TELEPATHY
34    EVENT.telepathy.invoke   "escalate this to the code specialist"          0.41  TELEPATHY
35    EVENT.idle.clean         "status ok"                                     0.83  LOCAL
36    EVENT.telepathy.invoke   "wait let the specialist coding model handle this one" 0.87  TELEPATHY
37    EVENT.chat.nearmiss      "how does a for loop work"                      0.74  LOCAL
38    EVENT.telepathy.invoke   "hand this off to the code model"               0.66  TELEPATHY
39    EVENT.telepathy.invoke   "pls elegate this kernel optimization to the coder" 0.82  TELEPATHY
40    EVENT.chat.nearmiss      "how does a for loop work"                      0.49  LOCAL
41    EVENT.idle.clean         "good morning"                                  0.63  LOCAL
42    EVENT.telepathy.invoke   "delegate this kernel optimization to the coder" 0.83  TELEPATHY
43    EVENT.idle.clean         "sounds good"                                   0.41  LOCAL
44    EVENT.chat.nearmiss      "remember my api key is abc"                    0.6   LOCAL
45    EVENT.chat.nearmiss      "what's the difference between a list and a tuple" 0.84  LOCAL
46    EVENT.chat.nearmiss      "search the web for the release date"           0.43  LOCAL
47    EVENT.chat.nearmiss      "what's the difference between a list and a tuple" 0.56  LOCAL
48    EVENT.idle.clean         "thanks"                                        0.66  LOCAL
49    EVENT.idle.clean         "sounds good"                                   0.64  LOCAL
50    EVENT.telepathy.invoke   "send this to the qwen coder model"             0.57  TELEPATHY
51    EVENT.idle.clean         "status ok"                                     0.65  LOCAL
52    EVENT.chat.nearmiss      "explain what a hash map is"                    0.59  LOCAL
53    EVENT.chat.nearmiss      "search the web for the release date"           0.82  LOCAL
54    EVENT.chat.nearmiss      "remember my api key is abc"                    0.51  LOCAL
55    EVENT.chat.nearmiss      "what's the difference between a list and a tuple" 0.41  LOCAL
56    EVENT.idle.clean         "sounds good"                                   0.72  LOCAL
57    EVENT.chat.nearmiss      "remember my api key is abc"                    0.8   LOCAL
58    EVENT.idle.clean         "status ok"                                     0.53  LOCAL
59    EVENT.telepathy.invoke   "let the specialist coding model handle this one" 0.41  TELEPATHY
60    EVENT.telepathy.invoke   "escalate this to the code specialist"          0.4   TELEPATHY
61    EVENT.telepathy.invoke   "delegate this kernel optimization to the coder" 0.51  TELEPATHY
62    EVENT.telepathy.invoke   "uh escalate this to the code specialist"       0.9   TELEPATHY
63    EVENT.telepathy.invoke   "hand this off to the code model"               0.6   TELEPATHY
64    EVENT.idle.clean         "carry on"                                      0.44  LOCAL
65    EVENT.telepathy.invoke   "pls pass the compile internals question to the code model" 0.68  TELEPATHY
66    EVENT.chat.nearmiss      "how does a for loop work"                      0.44  LOCAL
67    EVENT.chat.nearmiss      "i was reading about model handoff"             0.74  LOCAL
68    EVENT.chat.nearmiss      "remember my api key is abc"                    0.76  LOCAL
69    EVENT.telepathy.invoke   "route this to the dedicated code model"        0.45  TELEPATHY
70    EVENT.chat.nearmiss      "qwen is a solid coding model these days"       0.41  LOCAL
71    EVENT.idle.clean         "status ok"                                     0.65  LOCAL
72    EVENT.chat.nearmiss      "cross-model delegation is an interesting idea" 0.59  LOCAL
73    EVENT.chat.nearmiss      "search the web for the release date"           0.7   LOCAL
74    EVENT.chat.nearmiss      "i was reading about model handoff"             0.66  LOCAL
75    EVENT.telepathy.invoke   "let the specialist coding model handle this one" 0.67  TELEPATHY
76    EVENT.chat.nearmiss      "cross-model delegation is an interesting idea" 0.89  LOCAL
77    EVENT.telepathy.invoke   "pass the compiler internals question to the code model" 0.82  TELEPATHY
78    EVENT.idle.clean         "carry on"                                      0.4   LOCAL
79    EVENT.chat.nearmiss      "remember my api key is abc"                    0.51  LOCAL
